,filename,width,height,xmin,ymin,xmax,ymax
0,Adachi/JPEGImages/train_Adachi_00001.jpg,600,600,424,361,590,546
1,Adachi/JPEGImages/train_Adachi_00001.jpg,600,600,114,432,487,543
2,Adachi/JPEGImages/train_Adachi_00002.jpg,600,600,113,353,260,592
3,Adachi/JPEGImages/train_Adachi_00002.jpg,600,600,318,300,455,582
4,Adachi/JPEGImages/train_Adachi_00003.jpg,600,600,474,344,598,493
5,Adachi/JPEGImages/train_Adachi_00004.jpg,600,600,362,228,524,578
6,Adachi/JPEGImages/train_Adachi_00004.jpg,600,600,130,310,399,589
7,Adachi/JPEGImages/train_Adachi_00005.jpg,600,600,232,413,328,580
8,Adachi/JPEGImages/train_Adachi_00006.jpg,600,600,88,381,167,455
9,Adachi/JPEGImages/train_Adachi_00006.jpg,600,600,84,282,326,336
10,Adachi/JPEGImages/train_Adachi_00006.jpg,600,600,272,356,485,537
11,Adachi/JPEGImages/train_Adachi_00007.jpg,600,600,391,384,540,587
12,Adachi/JPEGImages/train_Adachi_00007.jpg,600,600,347,322,548,588
13,Adachi/JPEGImages/train_Adachi_00007.jpg,600,600,1,382,144,592
14,Adachi/JPEGImages/train_Adachi_00008.jpg,600,600,16,325,183,466
15,Adachi/JPEGImages/train_Adachi_00009.jpg,600,600,190,263,253,392
16,Adachi/JPEGImages/train_Adachi_00009.jpg,600,600,5,276,146,400
17,Adachi/JPEGImages/train_Adachi_00010.jpg,600,600,146,288,266,476
18,Adachi/JPEGImages/train_Adachi_00010.jpg,600,600,363,301,594,532
19,Adachi/JPEGImages/train_Adachi_00011.jpg,600,600,237,258,585,305
20,Adachi/JPEGImages/train_Adachi_00011.jpg,600,600,1,291,233,469
21,Adachi/JPEGImages/train_Adachi_00012.jpg,600,600,236,269,289,583
22,Adachi/JPEGImages/train_Adachi_00013.jpg,600,600,321,302,390,511
23,Adachi/JPEGImages/train_Adachi_00014.jpg,600,600,360,322,510,569
24,Adachi/JPEGImages/train_Adachi_00015.jpg,600,600,14,111,523,434
25,Adachi/JPEGImages/train_Adachi_00016.jpg,600,600,203,406,409,445
26,Adachi/JPEGImages/train_Adachi_00016.jpg,600,600,193,314,281,373
27,Adachi/JPEGImages/train_Adachi_00017.jpg,600,600,486,469,593,585
28,Adachi/JPEGImages/train_Adachi_00017.jpg,600,600,158,450,493,474
29,Adachi/JPEGImages/train_Adachi_00017.jpg,600,600,335,318,487,468
30,Adachi/JPEGImages/train_Adachi_00018.jpg,600,600,307,121,598,556
31,Adachi/JPEGImages/train_Adachi_00019.jpg,600,600,302,306,494,552
32,Adachi/JPEGImages/train_Adachi_00020.jpg,600,600,430,197,586,314
33,Adachi/JPEGImages/train_Adachi_00020.jpg,600,600,6,313,593,597
34,Adachi/JPEGImages/train_Adachi_00021.jpg,600,600,410,352,595,545
35,Adachi/JPEGImages/train_Adachi_00021.jpg,600,600,315,250,394,336
36,Adachi/JPEGImages/train_Adachi_00021.jpg,600,600,184,268,536,408
37,Adachi/JPEGImages/train_Adachi_00022.jpg,600,600,175,114,237,264
38,Adachi/JPEGImages/train_Adachi_00022.jpg,600,600,8,223,525,516
39,Adachi/JPEGImages/train_Adachi_00023.jpg,600,600,150,312,478,344
40,Adachi/JPEGImages/train_Adachi_00023.jpg,600,600,452,438,600,545
41,Adachi/JPEGImages/train_Adachi_00024.jpg,600,600,1,308,191,476
42,Adachi/JPEGImages/train_Adachi_00024.jpg,600,600,338,265,442,600
43,Adachi/JPEGImages/train_Adachi_00025.jpg,600,600,437,467,582,591
44,Adachi/JPEGImages/train_Adachi_00026.jpg,600,600,264,69,412,254
45,Adachi/JPEGImages/train_Adachi_00027.jpg,600,600,339,335,582,386
46,Adachi/JPEGImages/train_Adachi_00027.jpg,600,600,201,277,345,306
47,Adachi/JPEGImages/train_Adachi_00027.jpg,600,600,325,410,407,592
48,Adachi/JPEGImages/train_Adachi_00027.jpg,600,600,310,264,382,431
49,Adachi/JPEGImages/train_Adachi_00027.jpg,600,600,2,523,345,570
50,Adachi/JPEGImages/train_Adachi_00028.jpg,600,600,345,232,420,475
51,Adachi/JPEGImages/train_Adachi_00029.jpg,600,600,74,325,111,591
52,Adachi/JPEGImages/train_Adachi_00030.jpg,600,600,514,483,600,577
53,Adachi/JPEGImages/train_Adachi_00030.jpg,600,600,23,277,109,502
54,Adachi/JPEGImages/train_Adachi_00030.jpg,600,600,103,311,194,432
55,Adachi/JPEGImages/train_Adachi_00031.jpg,600,600,354,284,488,594
56,Adachi/JPEGImages/train_Adachi_00032.jpg,600,600,392,455,598,524
57,Adachi/JPEGImages/train_Adachi_00032.jpg,600,600,104,381,359,599
58,Adachi/JPEGImages/train_Adachi_00033.jpg,600,600,407,225,583,451
59,Adachi/JPEGImages/train_Adachi_00033.jpg,600,600,164,273,260,466
60,Adachi/JPEGImages/train_Adachi_00034.jpg,600,600,330,336,594,577
61,Adachi/JPEGImages/train_Adachi_00034.jpg,600,600,305,387,391,469
62,Adachi/JPEGImages/train_Adachi_00034.jpg,600,600,10,400,93,596
63,Adachi/JPEGImages/train_Adachi_00035.jpg,600,600,266,334,573,567
64,Adachi/JPEGImages/train_Adachi_00035.jpg,600,600,173,268,386,587
65,Adachi/JPEGImages/train_Adachi_00036.jpg,600,600,105,288,159,594
66,Adachi/JPEGImages/train_Adachi_00037.jpg,600,600,15,454,484,589
67,Adachi/JPEGImages/train_Adachi_00038.jpg,600,600,281,235,319,293
68,Adachi/JPEGImages/train_Adachi_00039.jpg,600,600,366,365,583,598
69,Adachi/JPEGImages/train_Adachi_00039.jpg,600,600,326,307,401,398
70,Adachi/JPEGImages/train_Adachi_00039.jpg,600,600,6,324,223,590
71,Adachi/JPEGImages/train_Adachi_00040.jpg,600,600,344,239,490,326
72,Adachi/JPEGImages/train_Adachi_00040.jpg,600,600,324,163,386,455
73,Adachi/JPEGImages/train_Adachi_00041.jpg,600,600,373,243,594,547
74,Adachi/JPEGImages/train_Adachi_00042.jpg,600,600,1,355,598,599
75,Adachi/JPEGImages/train_Adachi_00043.jpg,600,600,194,329,332,481
76,Adachi/JPEGImages/train_Adachi_00044.jpg,600,600,356,311,408,383
77,Adachi/JPEGImages/train_Adachi_00045.jpg,600,600,379,353,505,486
78,Adachi/JPEGImages/train_Adachi_00046.jpg,600,600,332,110,381,507
79,Adachi/JPEGImages/train_Adachi_00047.jpg,600,600,253,80,413,480
80,Adachi/JPEGImages/train_Adachi_00048.jpg,600,600,118,381,510,590
81,Adachi/JPEGImages/train_Adachi_00049.jpg,600,600,283,303,336,589
82,Adachi/JPEGImages/train_Adachi_00049.jpg,600,600,328,293,591,569
83,Adachi/JPEGImages/train_Adachi_00050.jpg,600,600,421,343,596,507
84,Adachi/JPEGImages/train_Adachi_00051.jpg,600,600,94,356,593,478
85,Adachi/JPEGImages/train_Adachi_00052.jpg,600,600,389,351,542,568
86,Adachi/JPEGImages/train_Adachi_00053.jpg,600,600,103,204,270,525
87,Adachi/JPEGImages/train_Adachi_00054.jpg,600,600,107,312,237,518
88,Adachi/JPEGImages/train_Adachi_00054.jpg,600,600,7,304,153,392
89,Adachi/JPEGImages/train_Adachi_00055.jpg,600,600,141,415,204,567
90,Adachi/JPEGImages/train_Adachi_00056.jpg,600,600,235,209,430,229
91,Adachi/JPEGImages/train_Adachi_00056.jpg,600,600,239,303,286,387
92,Adachi/JPEGImages/train_Adachi_00057.jpg,600,600,236,344,424,385
93,Adachi/JPEGImages/train_Adachi_00057.jpg,600,600,168,489,567,561
94,Adachi/JPEGImages/train_Adachi_00058.jpg,600,600,424,412,590,589
95,Adachi/JPEGImages/train_Adachi_00058.jpg,600,600,304,370,585,529
96,Adachi/JPEGImages/train_Adachi_00058.jpg,600,600,7,411,144,589
97,Adachi/JPEGImages/train_Adachi_00059.jpg,600,600,197,179,300,564
98,Adachi/JPEGImages/train_Adachi_00060.jpg,600,600,253,272,563,558
99,Adachi/JPEGImages/train_Adachi_00060.jpg,600,600,28,206,596,562
100,Adachi/JPEGImages/train_Adachi_00061.jpg,600,600,425,340,592,476
101,Adachi/JPEGImages/train_Adachi_00061.jpg,600,600,270,303,325,359
102,Adachi/JPEGImages/train_Adachi_00061.jpg,600,600,1,365,168,527
103,Adachi/JPEGImages/train_Adachi_00062.jpg,600,600,436,197,597,387
104,Adachi/JPEGImages/train_Adachi_00062.jpg,600,600,258,121,293,537
105,Adachi/JPEGImages/train_Adachi_00063.jpg,600,600,66,332,289,600
106,Adachi/JPEGImages/train_Adachi_00064.jpg,600,600,433,347,600,493
107,Adachi/JPEGImages/train_Adachi_00065.jpg,600,600,1,346,203,598
108,Adachi/JPEGImages/train_Adachi_00066.jpg,600,600,41,289,208,592
109,Adachi/JPEGImages/train_Adachi_00066.jpg,600,600,145,299,205,591
110,Adachi/JPEGImages/train_Adachi_00067.jpg,600,600,16,324,208,593
111,Adachi/JPEGImages/train_Adachi_00068.jpg,600,600,185,277,224,312
112,Adachi/JPEGImages/train_Adachi_00068.jpg,600,600,284,342,560,547
113,Adachi/JPEGImages/train_Adachi_00068.jpg,600,600,310,380,464,545
114,Adachi/JPEGImages/train_Adachi_00069.jpg,600,600,111,356,261,520
115,Adachi/JPEGImages/train_Adachi_00070.jpg,600,600,416,237,550,516
116,Adachi/JPEGImages/train_Adachi_00071.jpg,600,600,30,242,269,568
117,Adachi/JPEGImages/train_Adachi_00071.jpg,600,600,1,217,259,508
118,Adachi/JPEGImages/train_Adachi_00071.jpg,600,600,415,215,594,567
119,Adachi/JPEGImages/train_Adachi_00072.jpg,600,600,337,288,478,395
120,Adachi/JPEGImages/train_Adachi_00072.jpg,600,600,377,358,568,585
121,Adachi/JPEGImages/train_Adachi_00073.jpg,600,600,364,206,585,469
122,Adachi/JPEGImages/train_Adachi_00073.jpg,600,600,2,427,594,594
123,Adachi/JPEGImages/train_Adachi_00074.jpg,600,600,7,247,597,598
124,Adachi/JPEGImages/train_Adachi_00075.jpg,600,600,336,433,425,599
125,Adachi/JPEGImages/train_Adachi_00075.jpg,600,600,163,361,249,560
126,Adachi/JPEGImages/train_Adachi_00076.jpg,600,600,134,330,249,595
127,Adachi/JPEGImages/train_Adachi_00076.jpg,600,600,428,302,600,468
128,Adachi/JPEGImages/train_Adachi_00077.jpg,600,600,113,223,286,443
129,Adachi/JPEGImages/train_Adachi_00078.jpg,600,600,294,248,329,332
130,Adachi/JPEGImages/train_Adachi_00078.jpg,600,600,302,275,448,594
131,Adachi/JPEGImages/train_Adachi_00079.jpg,600,600,446,204,596,237
132,Adachi/JPEGImages/train_Adachi_00079.jpg,600,600,9,297,157,328
133,Adachi/JPEGImages/train_Adachi_00079.jpg,600,600,139,211,239,320
134,Adachi/JPEGImages/train_Adachi_00080.jpg,600,600,227,305,504,328
135,Adachi/JPEGImages/train_Adachi_00080.jpg,600,600,179,399,591,433
136,Adachi/JPEGImages/train_Adachi_00080.jpg,600,600,100,417,192,590
137,Adachi/JPEGImages/train_Adachi_00080.jpg,600,600,219,230,273,323
138,Adachi/JPEGImages/train_Adachi_00081.jpg,600,600,384,226,549,468
139,Adachi/JPEGImages/train_Adachi_00082.jpg,600,600,236,255,429,305
140,Adachi/JPEGImages/train_Adachi_00082.jpg,600,600,7,318,596,589
141,Adachi/JPEGImages/train_Adachi_00083.jpg,600,600,339,301,484,433
142,Adachi/JPEGImages/train_Adachi_00084.jpg,600,600,180,457,397,588
143,Adachi/JPEGImages/train_Adachi_00085.jpg,600,600,353,450,482,527
144,Adachi/JPEGImages/train_Adachi_00086.jpg,600,600,264,359,599,595
145,Adachi/JPEGImages/train_Adachi_00087.jpg,600,600,10,155,227,514
146,Adachi/JPEGImages/train_Adachi_00087.jpg,600,600,338,183,469,545
147,Adachi/JPEGImages/train_Adachi_00088.jpg,600,600,272,90,450,411
148,Adachi/JPEGImages/train_Adachi_00088.jpg,600,600,4,376,439,411
149,Adachi/JPEGImages/train_Adachi_00088.jpg,600,600,81,230,361,263
150,Adachi/JPEGImages/train_Adachi_00089.jpg,600,600,267,298,592,521
151,Adachi/JPEGImages/train_Adachi_00090.jpg,600,600,339,333,600,574
152,Adachi/JPEGImages/train_Adachi_00091.jpg,600,600,197,365,266,595
153,Adachi/JPEGImages/train_Adachi_00092.jpg,600,600,327,145,420,451
154,Adachi/JPEGImages/train_Adachi_00093.jpg,600,600,10,293,194,489
155,Adachi/JPEGImages/train_Adachi_00093.jpg,600,600,31,246,273,553
156,Adachi/JPEGImages/train_Adachi_00094.jpg,600,600,358,354,597,499
157,Adachi/JPEGImages/train_Adachi_00094.jpg,600,600,427,426,578,540
158,Adachi/JPEGImages/train_Adachi_00095.jpg,600,600,361,255,597,530
159,Adachi/JPEGImages/train_Adachi_00096.jpg,600,600,390,328,592,535
160,Adachi/JPEGImages/train_Adachi_00097.jpg,600,600,251,440,319,595
161,Adachi/JPEGImages/train_Adachi_00097.jpg,600,600,129,410,238,595
162,Adachi/JPEGImages/train_Adachi_00097.jpg,600,600,5,372,596,455
163,Adachi/JPEGImages/train_Adachi_00098.jpg,600,600,316,386,597,566
164,Adachi/JPEGImages/train_Adachi_00098.jpg,600,600,291,311,597,339
165,Adachi/JPEGImages/train_Adachi_00099.jpg,600,600,126,388,293,438
166,Adachi/JPEGImages/train_Adachi_00099.jpg,600,600,421,388,593,551
167,Adachi/JPEGImages/train_Adachi_00099.jpg,600,600,348,326,538,541
168,Adachi/JPEGImages/train_Adachi_00100.jpg,600,600,470,211,582,266
169,Adachi/JPEGImages/train_Adachi_00100.jpg,600,600,419,329,502,536
170,Adachi/JPEGImages/train_Adachi_00100.jpg,600,600,221,267,512,348
171,Adachi/JPEGImages/train_Adachi_00101.jpg,600,600,348,248,590,592
172,Adachi/JPEGImages/train_Adachi_00101.jpg,600,600,345,247,596,594
173,Adachi/JPEGImages/train_Adachi_00101.jpg,600,600,27,271,186,493
174,Adachi/JPEGImages/train_Adachi_00102.jpg,600,600,136,341,244,524
175,Adachi/JPEGImages/train_Adachi_00103.jpg,600,600,381,267,552,380
176,Adachi/JPEGImages/train_Adachi_00103.jpg,600,600,139,213,249,379
177,Adachi/JPEGImages/train_Adachi_00104.jpg,600,600,315,221,416,573
178,Adachi/JPEGImages/train_Adachi_00105.jpg,600,600,242,333,315,567
179,Adachi/JPEGImages/train_Adachi_00106.jpg,600,600,349,274,541,590
180,Adachi/JPEGImages/train_Adachi_00106.jpg,600,600,250,151,388,287
181,Adachi/JPEGImages/train_Adachi_00107.jpg,600,600,164,116,329,447
182,Adachi/JPEGImages/train_Adachi_00107.jpg,600,600,26,244,541,404
183,Adachi/JPEGImages/train_Adachi_00108.jpg,600,600,14,265,592,577
184,Adachi/JPEGImages/train_Adachi_00109.jpg,600,600,429,246,600,424
185,Adachi/JPEGImages/train_Adachi_00109.jpg,600,600,444,305,582,473
186,Adachi/JPEGImages/train_Adachi_00109.jpg,600,600,157,257,285,446
187,Adachi/JPEGImages/train_Adachi_00110.jpg,600,600,138,506,565,570
188,Adachi/JPEGImages/train_Adachi_00111.jpg,600,600,111,512,164,584
189,Adachi/JPEGImages/train_Adachi_00111.jpg,600,600,208,201,272,324
190,Adachi/JPEGImages/train_Adachi_00112.jpg,600,600,11,334,600,599
191,Adachi/JPEGImages/train_Adachi_00113.jpg,600,600,227,164,442,209
192,Adachi/JPEGImages/train_Adachi_00113.jpg,600,600,52,212,591,561
193,Adachi/JPEGImages/train_Adachi_00114.jpg,600,600,95,244,249,573
194,Adachi/JPEGImages/train_Adachi_00115.jpg,600,600,1,189,210,513
195,Adachi/JPEGImages/train_Adachi_00116.jpg,600,600,1,366,516,473
196,Adachi/JPEGImages/train_Adachi_00116.jpg,600,600,2,223,205,410
197,Adachi/JPEGImages/train_Adachi_00117.jpg,600,600,61,465,374,596
198,Adachi/JPEGImages/train_Adachi_00118.jpg,600,600,459,408,597,428
